+-------------------------------------------------------------------------------------------------------+
| Group: PCMEX                                                                                          |
+-------------------------------------------------------------------------------------------------------+
| Block    | Description             | Index | Byte offset      | Block Byte Length | Total Byte Length |
| MXROSC2     | OSC2 LEVEL                 | 0x002c 0044 - 01  | 0     | 255   | 0    |                                                                             |
| MXROSC3     | OSC3 LEVEL                 | 0x002d 0045 - 01  | 0     | 255   | 0    |                                                                             |
| MXRNOISE    | NOISE LEVEL                | 0x002e 0046 - 01  | 0     | 255   | 0    |                                                                             |
| MXRENVD     | MIXER ENV DEPTH            | 0x002f 0047 - 01  | -63   | 63    | 0    |                                                                             |
| MXRENVS     | MIXER ENV SELECT           | 0x0030 0048 - 01  | 0     | 1     | 0    | 1, 2                                                                        |
| MXRDYNA     | MIXER DYNAMICS             | 0x0031 0049 - 01  | 0     | 3     | 0    |                                                                             |
| FLTTYPE     | FILTER TYPE                | 0x0032 0050 - 01  | 0     | 3     | 0    |                                                                             |
| FLTHPF2     | FILTER HPF STEP            | 0x0033 0051 - 01  | 0     | 3     | 0    |                                                                             |
| FLTHPF1     | FILTER HPF                 | 0x0034 0052 - 02  | 0     | 1023  | 0    |                                                                             |
| FLTFREQ     | FILTER FREQ                | 0x0036 0054 - 02  | 0     | 1023  | 0    |                                                                             |
| FLTRESO     | FILTER RESO                | 0x0038 0056 - 02  | 0     | 1023  | 0    |                                                                             |
| FLTENVD     | FILTER ENV DEPTH           | 0x003a 0058 - 02  | -1023 | 1023  | 0    |                                                                             |
| FLTENVS     | FILTER ENV SELECT          | 0x003c 0060 - 01  | 0     | 1     | 0    | 1, 2                                                                        |
| FLTSLOPE    | FILTER SLOPE               | 0x003d 0061 - 01  | 0     | 2     | 0    | -12dB, -18db, -24dB                                                         |
| FLTKYBD     | FILTER KEY FOLLOW          | 0x003e 0062 - 02  | -200  | 200   | 0    |                                                                             |
| FLTMOD      | FILTER MOD                 | 0x0040 0064 - 01  | -100  | 100   | 0    |                                                                             |
| AMPLVL      | AMP LEVEL                  | 0x0042 0066 - 01  | 0     | 127   | 0    |                                                                             |
| AMPMOD1     | AMP MOD                    | 0x0043 0067 - 01  | -100  | 100   | 0    |                                                                             |
| AMPMOD2     | AMP MOD STEP               | 0x0044 0068 - 01  | 0     | 3     | 0    |                                                                             |
| AMPENVS     | AMP ENV SELECT             | 0x0045 0069 - 01  | 0     | 3     | 0    | ENV F&A, ENV2, G-AMP, G-ENV2                                                |
| ENV1A       | ENV1 ATTACK                | 0x0046 0070 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV1D       | ENV1 DECAY                 | 0x0048 0072 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV1S       | ENV1 SUSTAIN               | 0x004a 0074 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV1R       | ENV1 RELEASE               | 0x004c 0076 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV1KYBD1   | ENV1 KEY FOLLOW            | 0x004e 0078 - 01  | -100  | 100   | 0    |                                                                             |
| ENV1KYBD2   | ENV1 KEY FOLLOW STEP       | 0x004f 0079 - 01  | 0     | 6     | 0    |                                                                             |
| ENV2A       | ENV2 ATTACK                | 0x0050 0080 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV2D       | ENV2 DECAY                 | 0x0052 0082 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV2S       | ENV2 SUSTAIN               | 0x0054 0084 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV2R       | ENV2 RELEASE               | 0x0056 0086 - 02  | 0     | 1023  | 0    |                                                                             |
| ENV2MODE    | ENV2 MODE                  | 0x0058 0088 - 01  | 0     | 2     | 0    | GATE+TRIG, GATE, LFO                                                        |
| ENV2KYBD1   | ENV2 KEY FOLLOW            | 0x0059 0089 - 01  | -100  | 100   | 0    |                                                                             |
| ENV2KYBD2   | ENV2 KEY FOLLOW STEP       | 0x005a 0090 - 01  | 0     | 3     | 0    |                                                                             |
| DYNPTCH     | DYNAMICS PITCH             | 0x005b 0091 - 01  | 0     | 3     | 0    |                                                                             |
| DYNFLTT     | DYNAMICS FILTER            | 0x005c 0092 - 01  | 0     | 3     | 0    |                                                                             |
| DYNAMP      | DYNAMICS AMP               | 0x005d 0093 - 01  | 0     | 3     | 0    |                                                                             |
| PCHDRFT     | PITCH DRIFT                | 0x005e 0094 - 01  | 0     | 255   | 0    |                                                                             |
| BNDPTCH2    | BENDER PITCH DEPTH STEP    | 0x005f 0095 - 01  | 0     | 3     | 0    | 2, 3, 4, 7                                                                  |
| BNDFLT      | BENDER FILTER DEPTH        | 0x0060 0096 - 01  | -63   | 63    | 0    |                                                                             |
| BNDLFO      | MODULATION LFO DEPTH       | 0x0061 0097 - 01  | -63   | 63    | 0    |                                                                             |
| BNDPTCH1    | BENDER PITCH DEPTH         | 0x0062 0098 - 02  | 0     | 4800  | 0    |                                                                             |
| PTATIME     | PORTAMENT TIME             | 0x0064 0100 - 02  | 0     | 1023  | 0    |                                                                             |
| PTAMODE     | PORTAMENT MODE             | 0x0066 0102 - 01  | 0     | 2     | 0    | OFF, ON, AUTO                                                               |
| KBDMODE     | KEY MODE                   | 0x0067 0103 - 01  | 0     | 3     | 0    | POLY, SOLO, UNISON, SL-UNISON                                               |
| EXPAND      | PARAMETER EXPANSION SWITCH | 0x0068 0104 - 01  | 0     | 1     | 0    | OFF, ON                                                                     |
| CONDITION   | CONDITION                  | 0x0069 0105 - 01  | 0     | 100   | 0    |                                                                             |
| PTACRV      | PORTAMENT CURVE TYPE       | 0x006a 0106 - 01  | 0     | 3     | 0    | ORIGINAL, LINER, EXP1, EXP2                                                 |
| AFT_LFO     | AFTER TOUCH SENS LFO       | 0x006b 0107 - 01  | -63   | 63    | 0    |                                                                             |
| AFT_FREQ    | AFTER TOUCH SENS FREQ      | 0x006c 0108 - 01  | -63   | 63    | 0    |                                                                             |
| AFT_LEV     | AFTER TOUCH SENS LEVEL     | 0x006d 0109 - 01  | -63   | 63    | 0    |                                                                             |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLCORE : Total Length Bytes: 0x0070 112                                                                                                                   |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+

+---------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLJD800COM                                                                                                              |
+---------------------------------------------------------------------------------------------------------------------------------+
| ID          | Description           | Byte offset - len | Min  | Max   | Init | Values                                          |
+---------------------------------------------------------------------------------------------------------------------------------+
| LEVEL       | Level                 | 0x0000 0000 - 01  | 0    | 100   | 0    |                                                 |
| KEYA_RNG_LO | Key Range A Low       | 0x0001 0001 - 01  | 0    | 127   | 0    |                                                 |
| KEYA_RNG_HI | Key Range A High      | 0x0002 0002 - 01  | 0    | 127   | 127  |                                                 |
| KEYB_RNG_LO | Key Range B Low       | 0x0003 0003 - 01  | 0    | 127   | 0    |                                                 |
| KEYB_RNG_HI | Key Range B High      | 0x0004 0004 - 01  | 0    | 127   | 127  |                                                 |
| KEYC_RNG_LO | Key Range C Low       | 0x0005 0005 - 01  | 0    | 127   | 0    |                                                 |
| KEYC_RNG_HI | Key Range C High      | 0x0006 0006 - 01  | 0    | 127   | 127  |                                                 |
| KEYD_RNG_LO | Key Range D Low       | 0x0007 0007 - 01  | 0    | 127   | 0    |                                                 |
| KEYD_RNG_HI | Key Range D High      | 0x0008 0008 - 01  | 0    | 127   | 127  |                                                 |
| BND_RNG_DW  | Bender Range Down     | 0x0009 0009 - 01  | 0    | 48    | 2    |                                                 |
| BND_RNG_UP  | Bender Range Up       | 0x000a 0010 - 01  | 0    | 12    | 2    |                                                 |
| AFT_BEND    | After Touch Bend Sens | 0x000b 0011 - 01  | 0    | 26    | 16   | -36, -24, -12, -11, -10, -9, -8, -7, -6, -5 ... |
| SOLO_SW     | Solo Switch           | 0x000c 0012 - 01  | 0    | 1     | 0    | OFF, ON                                         |
| LEGATO_SW   | Solo Legato Switch    | 0x000d 0013 - 01  | 0    | 1     | 0    | OFF, ON                                         |
| PORT_SW     | Portamento Switch     | 0x000e 0014 - 01  | 0    | 1     | 0    | OFF, ON                                         |
| PORT_MODE   | Portamento Mode       | 0x000f 0015 - 01  | 0    | 1     | 0    | NORMAL, LEGATO                                  |
| PORT_TIME   | Portamento Time       | 0x0010 0016 - 01  | 0    | 100   | 10   |                                                 |
| EQ_MID_Q    | EQ Mid Q              | 0x0011 0017 - 01  | 5    | 160   | 10   |                                                 |
| EQ_LO_F     | EQ Low Frequency      | 0x0012 0018 - 02  | 20   | 16000 | 200  |                                                 |
| EQ_MID_F    | EQ Mid Frequency      | 0x0014 0020 - 02  | 20   | 16000 | 1000 |                                                 |
| EQ_HI_F     | EQ High Frequency     | 0x0016 0022 - 02  | 20   | 16000 | 2000 |                                                 |
| EQ_LO_G     | EQ Low Gain           | 0x0018 0024 - 02  | -240 | 240   | 0    |                                                 |
| EQ_MID_G    | EQ Mid Gain           | 0x001a 0026 - 02  | -240 | 240   | 0    |                                                 |
| EQ_HI_G     | EQ High Gain          | 0x001c 0028 - 02  | -240 | 240   | 0    |                                                 |
| EQ_SW       | EQ Switch             | 0x001e 0030 - 01  | 0    | 1     | 1    | OFF, ON                                         |
| UNISON      | Unison Switch         | 0x001f 0031 - 01  | 0    | 1     | 0    | OFF, ON                                         |
+---------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLJD800COM : Total Length Bytes: 0x002c 44                                                                              |
+---------------------------------------------------------------------------------------------------------------------------------+

+------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLJD800FxB                                                                                                                                         |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+
| ID          | Description            | Byte offset - len | Min | Max | Init | Values                                                                       |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+
| SEQUENCE    | Sequence               | 0x0000 0000 - 01  | 0   | 5   | 0    | CHO-DLY-REV, CHO-REV-DLY, DLY-CHO-REV, DLY-REV-CHO, REV-CHO-DLY, REV-DLY-CHO |
| DLY_SW      | DL Switch              | 0x0001 0001 - 01  | 0   | 1   | 1    | OFF, ON                                                                      |
| DLY_C_SYNC  | Delay Center (sync sw) | 0x0002 0002 - 01  | 0   | 1   | 0    | OFF, ON                                                                      |
| DLY_C_TIME  | Delay Center (time)    | 0x0003 0003 - 01  | 0   | 125 | 125  | 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0 ...                         |
| DLY_C_NOTE  | Delay Center (note)    | 0x0004 0004 - 01  | 0   | 21  | 15   | MUSICAL-NOTES                                                                |
| DLY_L_SYNC  | Delay Left (sync sw)   | 0x0005 0005 - 01  | 0   | 1   | 0    | OFF, ON                                                                      |
| DLY_L_TIME  | Delay Left (time)      | 0x0006 0006 - 01  | 0   | 125 | 105  | 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0 ...                         |
| DLY_L_NOTE  | Delay Left (note)      | 0x0007 0007 - 01  | 0   | 21  | 10   | MUSICAL-NOTES                                                                |
| DLY_R_SYNC  | Delay Right (sync sw)  | 0x0008 0008 - 01  | 0   | 1   | 0    | OFF, ON                                                                      |
| DLY_R_TIME  | Delay Right (time)     | 0x0009 0009 - 01  | 0   | 125 | 115  | 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0 ...                         |
| DLY_R_NOTE  | Delay Right (note)     | 0x000a 0010 - 01  | 0   | 21  | 13   | MUSICAL-NOTES                                                                |
| DLY_C_LEV   | Center Level           | 0x000b 0011 - 01  | 0   | 100 | 100  |                                                                              |
| DLY_L_LEV   | Left Level             | 0x000c 0012 - 01  | 0   | 100 | 100  |                                                                              |
| DLY_R_LEV   | Right Level            | 0x000d 0013 - 01  | 0   | 100 | 100  |                                                                              |
| DLY_FB      | Delay Feedback         | 0x000e 0014 - 01  | 0   | 98  | 59   |                                                                              |
| CHO_SW      | Chorus Sw              | 0x000f 0015 - 01  | 0   | 1   | 1    | OFF, ON                                                                      |
| CHO_RATE    | Chorus Rate            | 0x0010 0016 - 01  | 0   | 99  | 5    |                                                                              |
| CHO_DEPTH   | Chorus Depth           | 0x0011 0017 - 01  | 0   | 100 | 20   |                                                                              |
| CHO_DLY     | Chorus Delay           | 0x0012 0018 - 01  | 0   | 99  | 19   | 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0 ...                         |
| CHO_FB      | Chorus Feedback        | 0x0013 0019 - 01  | 0   | 98  | 49   |                                                                              |
| CHO_LEV     | Chorus Level           | 0x0014 0020 - 01  | 0   | 100 | 100  |                                                                              |
| REV_SW      | Reverb Sw              | 0x0015 0021 - 01  | 0   | 1   | 1    | OFF, ON                                                                      |
| REV_TYPE    | Reverb Type            | 0x0016 0022 - 01  | 0   | 9   | 5    | ROOM1, ROOM2, HALL1, HALL2, HALL3, HALL4, GATE, REVERSE, FLYING1, FLYING2    |
| REV_DLY     | Reverb Pre Delay       | 0x0017 0023 - 01  | 0   | 120 | 20   |                                                                              |
| REV_ER_LEV  | Reverb ER Lev          | 0x0018 0024 - 01  | 0   | 100 | 100  |                                                                              |
| REV_HF_DAMP | Reverb HF Damp         | 0x0019 0025 - 01  | 0   | 16  | 16   | 500Hz, 630Hz, 800Hz, 1kHz, 1.25kHz, 1.6kHz, 2kHz, 2.5kHz, 3.15kHz, 4kHz ...  |
| REV_TIME    | Reverb Time            | 0x001a 0026 - 01  | 0   | 99  | 19   | 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0 ...                         |
| REV_LEV     | Reverb Level           | 0x001b 0027 - 01  | 0   | 100 | 100  |                                                                              |
| BAL         | Balance                | 0x001c 0028 - 01  | 0   | 100 | 50   | D100:0W - D0:100W                                                            |
| LEVEL       | Level                  | 0x001d 0029 - 01  | 0   | 127 | 127  |                                                                              |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLJD800FxB : Total Length Bytes: 0x0020 32                                                                                                         |
+------------------------------------------------------------------------------------------------------------------------------------------------------------+

+----------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLJD800PTL                                                                                                                                       |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+
| ID          | Description                  | Byte offset - len | Min | Max   | Init | Values                                                             |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+
| PTL_SW      | Layer Partial Switch         | 0x0000 0000 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| ACT_SW      | Active Partial Switch        | 0x0001 0001 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| VELO_CRV    | Velocity Curve               | 0x0002 0002 - 01  | 0   | 3     | 0    |                                                                    |
| HOLD_CTRL   | Hold Control Switch          | 0x0003 0003 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| LFO1_WAV    | LFO1:Waveform                | 0x0004 0004 - 01  | 0   | 4     | 0    | TRI, SAW, SQU, S&H, RND                                            |
| LFO1_SYNC   | LFO1:Rate sync               | 0x0005 0005 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| LFO1_RATE   | LFO1:Rate                    | 0x0006 0006 - 01  | 0   | 100   | 0    |                                                                    |
| LFO1_NOTE   | LFO1:Rate nt                 | 0x0007 0007 - 01  | 0   | 22    | 12   | 1/64T, 1/64, 1/32T, 1/32, 1/16T, 1/32., 1/16, 1/8T, 1/16., 1/8 ... |
| LFO1_DLY    | LFO1:Delay time              | 0x0008 0008 - 01  | 0   | 101   | 0    |                                                                    |
| LFO1_FADE   | LFO1:Fade time               | 0x0009 0009 - 01  | -50 | 50    | 0    |                                                                    |
| LFO1_OFST   | LFO1:Offset                  | 0x000a 0010 - 01  | 0   | 2     | 0    | -, 0, +                                                            |
| LFO1_KEY    | LFO1:Key trig                | 0x000b 0011 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| LFO2_WAV    | LFO2:Waveform                | 0x000c 0012 - 01  | 0   | 4     | 0    | TRI, SAW, SQU, S&H, RND                                            |
| LFO2_SYNC   | LFO2:Rate Sync               | 0x000d 0013 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| LFO2_RATE   | LFO2:Rate                    | 0x000e 0014 - 01  | 0   | 100   | 0    |                                                                    |
| LFO2_NOTE   | LFO2:Rate nt                 | 0x000f 0015 - 01  | 0   | 22    | 12   | 1/64T, 1/64, 1/32T, 1/32, 1/16T, 1/32., 1/16, 1/8T, 1/16., 1/8 ... |
| LFO2_DLY    | LFO2:Delay Time              | 0x0010 0016 - 01  | 0   | 101   | 0    |                                                                    |
| LFO2_FADE   | LFO2:Fade time               | 0x0011 0017 - 01  | -50 | 50    | 0    |                                                                    |
| LFO2_OFST   | LFO2:Offset                  | 0x0012 0018 - 01  | 0   | 2     | 0    | -, 0, +                                                            |
| LFO2_KEY    | LFO2:Key trig                | 0x0013 0019 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| WAV_NUM     | WG:Waveform                  | 0x0014 0020 - 02  | 0   | 16383 | 0    |                                                                    |
| WAV_SRC     | WG:Wave source               | 0x0016 0022 - 01  | 0   | 49    | 0    |                                                                    |
| WAV_GAIN    | WG:Wave gain                 | 0x0017 0023 - 01  | 0   | 5     | 3    | -18, -12, -6, 0, +6, +12                                           |
| PIT_COARSE  | WG:Pitch coarse              | 0x0018 0024 - 01  | -48 | 48    | 0    |                                                                    |
| PIT_FINE    | WG:Pitch fine                | 0x0019 0025 - 01  | -50 | 50    | 0    |                                                                    |
| PIT_RND     | WG:Pitch random              | 0x001a 0026 - 01  | 0   | 100   | 0    |                                                                    |
| PIT_KF      | WG:Pitch KF                  | 0x001b 0027 - 01  | 0   | 16    | 5    | -100, -50, -20, -10, -5, 0, +5, +10, +20, +50 ...                  |
| BENDER_SW   | WG:Bender Sw                 | 0x001c 0028 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| AFT_BEND_SW | WG:Atch bend sw              | 0x001d 0029 - 01  | 0   | 1     | 0    | OFF, ON                                                            |
| LFO1_DEP    | WG:LFO1 depth                | 0x001e 0030 - 01  | -50 | 50    | 0    |                                                                    |
| LFO2_DEP    | WG:LFO2 depth                | 0x001f 0031 - 01  | -50 | 50    | 0    |                                                                    |
| LEVER_SENS  | WG:Lever sens                | 0x0020 0032 - 01  | -50 | 50    | 0    |                                                                    |
| AFT_SENS    | WG:Atch msens                | 0x0021 0033 - 01  | -50 | 50    | 0    |                                                                    |
| PENV_VSENS  | Pitch Env Velocity Sens      | 0x0022 0034 - 01  | -50 | 50    | 0    |                                                                    |
| PENV_T_VS   | Pitch Env Time Velocity Sens | 0x0023 0035 - 01  | -50 | 50    | 0    |                                                                    |
| PENV_T_KF   | Pitch Env Time Keyfollow     | 0x0024 0036 - 01  | -10 | 10    | 0    |                                                                    |
| PENV_L0     | Pitch Env L0                 | 0x0025 0037 - 01  | -50 | 50    | 0    |                                                                    |
| PENV_L1     | Pitch Env L1                 | 0x0026 0038 - 01  | -50 | 50    | 0    |                                                                    |
| PENV_L2     | Pitch Env L2                 | 0x0027 0039 - 01  | -50 | 50    | 0    |                                                                    |
| PENV_T1     | Pitch Env T1                 | 0x0028 0040 - 01  | 0   | 100   | 0    |                                                                    |
| PENV_T2     | Pitch Env T2                 | 0x0029 0041 - 01  | 0   | 100   | 0    |                                                                    |
| PENV_T3     | Pitch Env T3                 | 0x002a 0042 - 01  | 0   | 100   | 0    |                                                                    |
| TVF_FLT     | TVF:Filter mode              | 0x002b 0043 - 01  | 0   | 2     | 0    | LPF, BPF, HPF                                                      |
| TVF_CUTOFF  | TVF:Cutoff freq              | 0x002c 0044 - 01  | 0   | 100   | 0    |                                                                    |
| TVF_RESO    | TVF:Resonance                | 0x002d 0045 - 01  | 0   | 100   | 0    |                                                                    |
| TVF_KF      | TVF:Cutoff KF                | 0x002e 0046 - 01  | 0   | 40    | 0    | -100 , -90 , -80 , -70 , -60 , -50 , -40 , -30 , -20 , -10  ...    |
| TVF_AFT     | TVF:Atch sens                | 0x002f 0047 - 01  | -50 | 50    | 0    |                                                                    |
| TVF_LFO     | TVF:LFO select               | 0x0030 0048 - 01  | 0   | 1     | 0    | LFO1 , LFO2                                                        |
| TVF_LFO_DEP | TVF:LFO depth                | 0x0031 0049 - 01  | -50 | 50    | 0    |                                                                    |
| TVF_ENV_DEP | TVF:ENV depth                | 0x0032 0050 - 01  | -50 | 50    | 0    |                                                                    |
| FENV_VSENS  | F-ENV:Velo sens              | 0x0033 0051 - 01  | -50 | 50    | 0    |                                                                    |
| FENV_T_VS   | F-ENV:T vsens                | 0x0034 0052 - 01  | -50 | 50    | 0    |                                                                    |
| FENV_T_KF   | F-ENV:Time KF                | 0x0035 0053 - 01  | -10 | 10    | 0    |                                                                    |
| FENV_L1     | F-ENV:Level 1                | 0x0036 0054 - 01  | 0   | 100   | 0    |                                                                    |
| FENV_L2     | F-ENV:Level 2                | 0x0037 0055 - 01  | 0   | 100   | 0    |                                                                    |
| FENV_SUS    | F-ENV:Sus Level              | 0x0038 0056 - 01  | 0   | 100   | 0    |                                                                    |
| FENV_L4     | F-ENV:Level 4                | 0x0039 0057 - 01  | 0   | 100   | 0    |                                                                    |
| FENV_T1     | F-ENV:Time 1                 | 0x003a 0058 - 01  | 0   | 100   | 0    |                                                                    |
| FENV_T2     | F-ENV:Time 2                 | 0x003b 0059 - 01  | 0   | 100   | 0    |                                                                    |
| FENV_T3     | F-ENV:Time 3                 | 0x003c 0060 - 01  | 0   | 100   | 0    |                                                                    |
| FENV_T4     | F-ENV:Time 4                 | 0x003d 0061 - 01  | 0   | 100   | 0    |                                                                    |
| TVA_BS_DIR  | TVA Bias Direction           | 0x003e 0062 - 01  | 0   | 2     | 0    | UP , LOW, U&L                                                      |
| TVA_BS_KEY  | TVA Bias Point               | 0x003f 0063 - 01  | 0   | 127   | 0    |                                                                    |
| TVA_BS_LVL  | TVA:Bias level               | 0x0040 0064 - 01  | -10 | 10    | 0    |                                                                    |
| TVA_LEVEL   | TVA:Level                    | 0x0041 0065 - 01  | 0   | 100   | 0    |                                                                    |
| TVA_AFT     | TVA After Touch Sens         | 0x0042 0066 - 01  | -50 | 50    | 0    |                                                                    |
| TVA_LFO     | TVA:LFO select               | 0x0043 0067 - 01  | 0   | 1     | 0    | LFO1 , LFO2                                                        |
| TVA_LFO_DEP | TVA:LFO depth                | 0x0044 0068 - 01  | -50 | 50    | 0    |                                                                    |
| AENV_VSENS  | A-ENV:Velo sens              | 0x0045 0069 - 01  | -50 | 50    | 0    |                                                                    |
| AENV_T_VS   | A-ENV:T vsens                | 0x0046 0070 - 01  | -50 | 50    | 0    |                                                                    |
| AENV_T_KF   | A-ENV:Time KF                | 0x0047 0071 - 01  | -10 | 10    | 0    |                                                                    |
| AENV_L1     | A-ENV:Level 1                | 0x0048 0072 - 01  | 0   | 100   | 0    |                                                                    |
| AENV_L2     | A-ENV:Level 2                | 0x0049 0073 - 01  | 0   | 100   | 0    |                                                                    |
| AENV_SUS    | A-ENV:Sus level              | 0x004a 0074 - 01  | 0   | 100   | 0    |                                                                    |
| AENV_T1     | A-ENV:Time 1                 | 0x004b 0075 - 01  | 0   | 100   | 0    |                                                                    |
| AENV_T2     | A-ENV:Time 2                 | 0x004c 0076 - 01  | 0   | 100   | 0    |                                                                    |
| AENV_T3     | A-ENV:Time 3                 | 0x004d 0077 - 01  | 0   | 100   | 0    |                                                                    |
| AENV_T4     | A-ENV:Time 4                 | 0x004e 0078 - 01  | 0   | 100   | 0    |                                                                    |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLJD800PTL : Total Length Bytes: 0x0050 80                                                                                                       |
+----------------------------------------------------------------------------------------------------------------------------------------------------------+

+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Block: MDLSYN0                                                                                                                                                    |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| ID          | Description                | Byte offset - len | Min   | Max   | Init | Values                                                                      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| MODEL       | Model                      | 0x0000 0000 - 01  | 0     | 5     | 0    | ---, JP8, JX8P, JUNO106, SH101, JUNO60                                      |
| LFOWAVE     | LFO WAVE FORM              | 0x0001 0001 - 01  | 0     | 10    | 0    | SIN, TRI, SAW-UP, SAW-DW, SQR, RND, TRP, S&H, CHS, VSIN ...                 |
| LFORATE     | LFO RATE                   | 0x0002 0002 - 02  | 0     | 1023  | 0    |                                                                             |
| LFODLY      | LFO DELAY TIME             | 0x0004 0004 - 02  | 0     | 1023  | 0    |                                                                             |
| OSC1MOD     | OSC1 MOD                   | 0x0006 0006 - 01  | -100  | 100   | 0    |                                                                             |
| OSC1PENV    | OSC1 PITCH ENV DEPTH       | 0x0007 0007 - 01  | -100  | 100   | 0    |                                                                             |
| OSC1DEST    | OSC1 DEST SELECT           | 0x0008 0008 - 01  | 0     | 2     | 0    | OSC1, BOTH, OSC2                                                            |
| OSC1ENVS    | OSC1 ENVT SELECT           | 0x0009 0009 - 01  | 0     | 1     | 0    | 1, 2                                                                        |
| OSC1WAVE    | OSC1 WAVE FORM             | 0x000a 0010 - 02  | 0     | 27    | 0    | PW, SAW, SUB1OCT1, SUB2OCT1, SUB2OCT2, NOISE, PW, SAW, SUB1OCT1, NOISE ...  |
| OSC1FEET    | OSC1 FEET                  | 0x000c 0012 - 01  | 0     | 4     | 0    | 32', 16', 8', 4', 2'                                                        |
| OSC1COARSE  | OSC1 COARSE TUNE           | 0x000d 0013 - 01  | -48   | 48    | 0    |                                                                             |
| OSC1FINE    | OSC1 FINE TUNE             | 0x000e 0014 - 01  | -50   | 50    | 0    |                                                                             |
| OSC1LOWFREQ | OSC1 LOW FREQ PITCH        | 0x000f 0015 - 01  | 0     | 127   | 0    |                                                                             |
| OSC1MODE    | OSC1 MODE                  | 0x0010 0016 - 01  | 0     | 1     | 0    | NORMAL, LOW FREQ                                                            |
| OSC1PWM     | OSC1 PWM DEPTH             | 0x0011 0017 - 01  | -63   | 63    | 0    |                                                                             |
| OSC1PLSW    | OSC1 PULSE WIDTH           | 0x0012 0018 - 01  | 0     | 127   | 0    |                                                                             |
| OSC1PLSM    | OSC1 PULSE WIDTH MODE      | 0x0013 0019 - 01  | 0     | 2     | 0    | LFO, MANUAL, ENV                                                            |
| OSC2MOD     | OSC2 MOD                   | 0x0014 0020 - 01  | -100  | 100   | 0    |                                                                             |
| OSC2PENV    | OSC2 PITCH ENV DEPTH       | 0x0015 0021 - 01  | -100  | 100   | 0    |                                                                             |
| OSC2WAVE    | OSC2 WAVE FORM             | 0x0016 0022 - 02  | 0     | 27    | 0    | PW, SAW, SUB1OCT1, SUB2OCT1, SUB2OCT2, NOISE, PW, SAW, SUB1OCT1, NOISE ...  |
| OSC2FEET    | OSC2 FEET                  | 0x0018 0024 - 01  | 0     | 4     | 0    | 32', 16', 8', 4', 2'                                                        |
| OSC2COARSE  | OSC2 COARSE TUNE           | 0x0019 0025 - 01  | -48   | 48    | 0    |                                                                             |
| OSC2FINE    | OSC2 FINE TUNE             | 0x001a 0026 - 01  | -50   | 50    | 0    |                                                                             |
| OSC2LOWFREQ | OSC2 LOW FREQ PITCH        | 0x001b 0027 - 01  | 0     | 127   | 0    |                                                                             |
| OSC2MODE    | OSC2 MODE                  | 0x001c 0028 - 01  | 0     | 1     | 0    | NORMAL, LO FREQ                                                             |
| OSC2PW      | OSC2 PULSE WIDTH           | 0x001d 0029 - 01  | 0     | 127   | 0    |                                                                             |
| OSC3MOD     | OSC3 MOD                   | 0x001e 0030 - 01  | -100  | 100   | 0    |                                                                             |
| OSC3PENV    | OSC3 PITCH ENV DEPTH       | 0x001f 0031 - 01  | -100  | 100   | 0    |                                                                             |
